,Gurulatih/Gurulatih Muda / Pembantu Gurulatih,Negeri,HQ
Putih (K) Cula Hijau ,4,2,24
Putih (K) Cula Merah,4,2,24
Putih (K) Cula Kuning,4,2,24
Putih (K) Cula Hitam,4,2,24
Awan Putih,4,5,26
Pelangi Hijau,4,7,29
Pelangi Merah,4,7,34
Pelangi Merah Cula 1,4,8,38
Pelangi Merah Cula 2,4,10,41
Pelangi Merah Cula 3,4,12,44
Pelangi Kuning Cula 1,4,15,51
Pelangi Kuning Cula 2,4,17,54
Pelangi Kuning Cula 3,4,19,57
Pelangi Kuning Cula 4,4,21,60
Pelangi Kuning Cula 5,4,23,63
Harimau Pelangi Hitam Cula 1,4,32,69
Harimau Pelangi Hitam Cula 2,4,34,72
Harimau Pelangi Hitam Cula 3,4,36,75
Harimau Pelangi Hitam Cula 4,4,38,78
Harimau Pelangi Hitam Cula 5,4,40,81
Harimau Pelangi Hitam Cula 6,4,42,84
Pelangi Kuning Cula 1 (Gurulatih Muda),4,15,55
Pelangi Kuning Cula 2 (Gurulatih Muda),4,17,58
Pelangi Kuning Cula 3 (Gurulatih Muda),4,19,61
Pelangi Kuning Cula 4 (Gurulatih Muda),4,21,64
Pelangi Kuning Cula 5 (Gurulatih Muda),4,23,67
Harimau Pelangi Hitam Cula 1 (Gurulatih),4,32,73
Harimau Pelangi Hitam Cula 2 (Gurulatih Kanan),4,34,76
Harimau Pelangi Hitam Cula 3 (Gurulatih Kanan),4,36,79
Harimau Pelangi Hitam Cula 4 (Gurulatih Kanan),4,38,82
Harimau Pelangi Hitam Cula 5 (Gurulatih Tertinggi),4,40,85
Harimau Pelangi Hitam Cula 6 (Gurulatih Tertinggi),4,42,88
